2 1000 2000
1000 4633 1250 1049
1000 2413 7564 1021
1000 7718 7584 1085
1000 4753 5905 1020
1000 8566 4883 1047
1000 1066 4513 1012
1000 7576 1623 1041
1000 1914 1330 1010
1000 5199 8637 1078
1000 6110 3708 1038
2000 4600 2429 131
2000 3740 497 120
2000 5562 2174 262
2000 5779 1741 198
2000 4775 76 134
2000 3424 1236 160
2000 6077 1194 396
2000 4640 -64 265
2000 5662 2201 352
2000 5450 68 388
2000 1865 8750 286
2000 2292 6241 308
2000 3617 7042 292
2000 1723 8681 292
2000 1043 7751 362
2000 3646 8019 294
2000 1176 7150 284
2000 1403 6771 263
2000 1458 8388 241
2000 3523 7835 122
2000 8213 8784 213
2000 6595 6886 237
2000 6722 6776 198
2000 8164 8849 256
2000 8573 6541 264
2000 6853 8641 280
2000 7504 6339 179
2000 8390 8742 254
2000 7743 6197 302
2000 6559 8087 178
2000 5850 5422 179
2000 5909 5212 329
2000 3952 4944 231
2000 4631 7134 216
2000 3423 5957 311
2000 4491 4512 397
2000 3413 6240 361
2000 5658 4942 302
2000 5475 5013 128
2000 5329 4845 187
2000 9881 4811 270
2000 7588 5807 299
2000 9367 5772 150
2000 9505 4140 151
2000 9968 4975 359
2000 7556 5621 204
2000 8935 3585 303
2000 8977 3680 225
2000 9371 3856 259
2000 7810 3974 136
2000 1945 3777 135
2000 659 3305 263
2000 -14 4873 126
2000 1679 3439 225
2000 1534 3297 291
2000 2114 5207 245
2000 215 5574 349
2000 -20 3792 292
2000 128 3763 189
2000 2170 4873 150
2000 6240 1508 300
2000 6219 2086 392
2000 6392 2315 330
2000 8135 2620 103
2000 6393 1036 279
2000 8843 1345 256
2000 6866 2517 101
2000 6283 1667 252
2000 6666 805 182
2000 6893 2730 260
2000 932 403 340
2000 3098 1841 280
2000 1009 2092 173
2000 1433 2404 167
2000 896 672 202
2000 680 878 304
2000 1237 342 188
2000 782 2147 386
2000 649 1462 262
2000 1418 313 122
2000 4092 9553 359
2000 5802 7374 322
2000 4705 9870 250
2000 5860 9739 206
2000 4704 7379 274
2000 3966 9050 223
2000 5759 7407 274
2000 4886 9955 276
2000 5568 7362 249
2000 6527 8573 251
2000 6399 4933 221
2000 6061 2536 135
2000 4991 4326 240
2000 5264 4660 235
2000 4936 3877 147
2000 5922 2404 279
2000 5414 2790 114
2000 6309 2469 217
2000 7262 3393 157
2000 6576 4965 303
