2 1000 2000
1000 3013 7171 1093
1000 5827 2746 1043
1000 5972 6821 1069
1000 8364 5303 1087
1000 2409 3219 1057
1000 8062 1136 1090
1000 8483 8962 1022
1000 1017 8832 1063
1000 3878 1035 1070
1000 1057 5545 1055
2000 3910 7432 158
2000 3128 8151 106
2000 3724 6944 347
2000 2166 6892 200
2000 2923 7910 348
2000 2140 7628 106
2000 4002 7205 104
2000 2733 6347 223
2000 2356 6561 196
2000 3599 7574 382
2000 6698 2679 169
2000 6209 2026 228
2000 5744 3565 220
2000 5823 1955 252
2000 6417 3229 281
2000 6453 2100 143
2000 5019 2850 229
2000 6123 2028 267
2000 6424 2435 370
2000 5370 1998 167
2000 5655 7685 148
2000 6883 7106 114
2000 5050 6706 140
2000 6771 7050 239
2000 5611 7503 297
2000 6623 7505 125
2000 6579 6165 175
2000 5652 6216 384
2000 6417 6234 332
2000 6147 5960 190
2000 7918 5924 322
2000 8608 4659 399
2000 7468 5403 185
2000 9005 4938 350
2000 7957 5994 285
2000 7569 5170 281
2000 7563 5199 280
2000 9025 4686 183
2000 9061 4754 201
2000 7428 5148 138
2000 3337 3267 129
2000 2050 3981 215
2000 1945 3686 399
2000 2780 3938 248
2000 1975 3741 378
2000 2775 3944 245
2000 2716 2329 116
2000 3108 3367 343
2000 2900 2564 239
2000 2489 3975 297
2000 8865 941 264
2000 8878 1359 245
2000 8133 276 227
2000 8687 1756 210
2000 8828 764 239
2000 8119 1987 237
2000 7205 681 119
2000 8149 1975 247
2000 8415 344 223
2000 8460 1743 365
2000 7891 9604 148
2000 9277 8876 224
2000 7763 8616 224
2000 9050 9351 335
2000 9089 9465 235
2000 8500 8339 400
2000 8788 8145 150
2000 8356 8179 229
2000 8554 9836 145
2000 9201 9336 213
2000 323 8886 368
2000 127 9185 106
2000 434 8371 320
2000 916 7947 173
2000 98 8598 116
2000 542 9465 272
2000 1553 9581 142
2000 1409 9452 329
2000 403 8540 384
2000 1647 9299 279
2000 4265 310 247
2000 3492 396 323
2000 3310 1744 161
2000 3020 951 207
2000 3197 1021 388
2000 4231 1630 378
2000 3049 1458 139
2000 3641 311 308
2000 3040 794 198
2000 3329 431 253
2000 386 4891 118
2000 1518 6126 312
2000 1853 5869 195
2000 1039 4885 394
2000 858 6462 115
2000 1785 6075 154
2000 1380 6299 234
2000 740 4740 190
2000 254 5779 219
2000 1179 6262 327
